adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genres
False,1226863,en,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",828.4621,2026-04-01,The Super Mario Galaxy Movie,6.791,522,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']"
False,1523145,ru,Твоё сердце будет разбито,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",434.1481,2026-03-26,Your Heart Will Be Broken,7.094,65,"['Romance', 'Drama']"
False,83533,en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",329.658,2025-12-17,Avatar: Fire and Ash,7.373,2650,"['Science Fiction', 'Adventure', 'Fantasy']"
False,687163,en,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",262.4292,2026-03-15,Project Hail Mary,8.2,1563,"['Science Fiction', 'Adventure']"
False,980431,en,"Avatar: Aang, The Last Airbender","Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",316.0527,2026-10-09,"Avatar: Aang, The Last Airbender",0.0,0,"['Animation', 'Action', 'Adventure', 'Fantasy']"
False,1470130,en,The Mortuary Assistant,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn.",263.8668,2026-02-13,The Mortuary Assistant,5.421,76,"['Horror', 'Mystery']"
False,1327819,en,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",226.1527,2026-03-04,Hoppers,7.589,483,"['Animation', 'Family', 'Science Fiction', 'Comedy', 'Adventure']"
False,1290417,en,Thrash,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",206.5751,2026-04-10,Thrash,6.016,344,"['Horror', 'Thriller']"
False,20222,es,Sexo con amor,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",286.2109,2003-03-27,Sex with Love,6.519,241,"['Comedy', 'Romance']"
False,1084577,en,Balls Up,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive.",214.69,2026-04-15,Balls Up,5.5,79,"['Comedy', 'Action', 'Adventure']"
